,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,79.29,2150.8,217.21,133.99,207.19,1510.06,79.9,2150.8,217.21,133.99,207.19,1510.06,80.97,2185.95,220.01,136.82,210.86,1529.88,79.68,2136.0,215.29,132.72,206.51,1505.45,80.9,2150.9,219.91,133.51,210.19,1513.27,94323200,5746000,16073500,3546100,25030800,1742600
2020-02-12,81.17,2160.0,224.31,137.49,210.76,1518.63,81.8,2160.0,224.31,137.49,210.76,1518.63,81.81,2180.25,225.52,138.5,211.22,1520.3,80.37,2155.29,220.21,134.66,207.4,1508.67,80.37,2163.2,221.13,136.73,207.85,1515.86,113730400,3334300,18671900,3636600,13813700,1552100
2020-02-13,80.59,2149.87,220.36,135.18,213.14,1513.39,81.22,2149.87,220.36,135.18,213.14,1513.39,81.56,2170.28,225.0,136.3,214.33,1525.95,80.84,2142.0,218.99,133.23,209.18,1504.0,81.05,2144.99,220.0,135.02,209.52,1510.0,94747600,3031800,28069700,3150300,15396600,1145700
2020-02-14,80.61,2134.87,219.63,134.57,214.18,1518.73,81.24,2134.87,219.63,134.57,214.18,1518.73,81.5,2159.04,221.64,135.9,214.93,1520.05,80.71,2125.89,218.23,134.05,212.65,1505.55,81.18,2155.68,221.1,135.9,214.0,1514.53,80113600,2606200,10690000,1697400,10741700,1159900
2020-02-18,79.14,2155.67,220.52,134.18,217.8,1519.44,79.75,2155.67,220.52,134.18,217.8,1519.44,79.94,2166.07,220.85,134.79,217.98,1530.56,78.65,2124.11,217.51,132.49,213.4,1511.01,78.84,2125.02,218.55,134.02,213.55,1514.34,152531200,2945600,12987000,2817000,15609200,1282100
2020-02-19,80.28,2170.22,222.14,135.81,217.49,1524.87,80.9,2170.22,222.14,135.81,217.49,1524.87,81.14,2185.1,223.56,135.88,218.32,1530.74,80.0,2161.12,220.75,132.8,216.11,1520.98,80.0,2167.8,221.52,134.24,217.99,1527.2,93984000,2561200,10798100,2118400,12135100,1137300
2020-02-20,79.46,2153.1,218.04,132.46,214.58,1516.99,80.07,2153.1,218.04,132.46,214.58,1516.99,81.16,2176.79,222.5,136.32,218.77,1527.07,79.55,2127.45,214.22,131.21,212.95,1504.26,80.66,2173.07,222.5,135.0,216.52,1519.01,100566000,3131300,14950100,3662400,13109200,1298100
2020-02-21,77.66,2095.97,212.59,129.8,210.18,1483.46,78.26,2095.97,212.59,129.8,210.18,1483.46,80.11,2144.55,217.6,131.55,214.24,1510.95,77.62,2088.0,211.56,128.08,208.83,1478.49,79.65,2142.15,217.54,131.35,213.48,1504.58,129554000,4646300,17681200,3095900,14092300,2126000
2020-02-24,73.97,2009.29,206.16,125.83,200.72,1419.86,74.54,2009.29,206.16,125.83,200.72,1419.86,76.04,2039.3,207.28,127.35,203.65,1436.38,72.31,1987.97,202.51,122.14,198.17,1406.79,74.32,2003.18,203.55,122.7,201.8,1423.05,222195200,6547000,19380200,4581500,23080100,2478000
2020-02-25,71.47,1972.74,205.61,124.43,196.77,1386.32,72.02,1972.74,205.61,124.43,196.77,1386.32,75.63,2034.6,209.95,128.44,203.5,1436.85,71.53,1958.42,204.1,123.6,195.95,1380.42,75.24,2026.42,208.51,128.36,202.25,1431.0,230673600,6219100,18132400,5139300,21433500,2579000
2020-02-26,72.6,1979.59,208.74,123.54,197.2,1390.47,73.16,1979.59,208.74,123.54,197.2,1390.47,74.47,2014.67,213.08,127.38,201.21,1413.67,71.62,1960.45,206.79,121.63,195.49,1376.55,71.63,1970.28,206.8,124.02,197.19,1394.98,198054800,5224600,19482100,5128000,16524500,2488800
2020-02-27,67.85,1884.3,205.03,119.91,189.75,1314.95,68.38,1884.3,205.03,119.91,189.75,1314.95,71.5,1975.0,209.97,124.16,195.88,1369.4,68.24,1882.76,201.86,119.35,189.5,1314.24,70.28,1934.38,205.01,122.01,191.82,1359.14,320605600,8144000,22741200,6693400,21682600,3114500
2020-02-28,67.81,1883.75,208.0,119.98,192.47,1339.25,68.34,1883.75,208.0,119.98,192.47,1339.25,69.6,1889.76,208.92,120.5,192.74,1342.45,64.09,1811.13,198.56,114.81,181.82,1268.21,64.32,1814.63,198.98,115.0,182.7,1274.31,426884800,9493800,31251100,9801600,32568900,4010900
2020-03-02,74.13,1953.95,210.98,120.77,196.44,1386.32,74.7,1953.95,210.98,120.77,196.44,1386.32,75.36,1954.51,211.11,122.97,196.57,1387.47,69.43,1870.0,203.76,117.83,188.85,1325.2,70.57,1906.49,208.59,122.8,194.03,1351.39,341397200,6761700,21542200,6238800,24949000,2771500
2020-03-03,71.77,1908.99,207.41,117.97,185.89,1337.72,72.33,1908.99,207.41,117.97,185.89,1337.72,76.0,1996.33,211.39,122.62,197.24,1408.19,71.45,1888.09,202.24,115.68,183.97,1329.24,75.92,1975.37,211.08,121.4,196.22,1397.68,319475600,7534500,20813800,5499400,27984100,2830100
2020-03-04,75.1,1975.83,211.96,121.41,191.76,1381.6,75.68,1975.83,211.96,121.41,191.76,1381.6,75.85,1978.0,212.7,121.79,191.83,1382.78,73.28,1922.0,208.85,119.13,186.39,1337.0,74.11,1946.57,209.49,119.29,189.17,1358.96,219178400,4772900,12474400,4214100,23062500,2379900
2020-03-05,72.67,1924.03,211.46,118.24,185.17,1314.76,73.23,1924.03,211.46,118.24,185.17,1314.76,74.89,1960.72,215.15,120.32,188.99,1353.63,72.85,1910.0,209.14,117.6,183.89,1301.64,73.88,1933.0,210.0,118.37,186.78,1345.55,187572800,4748200,13462900,3046900,19333400,2719000
2020-03-06,71.7,1901.09,204.64,113.74,181.09,1295.74,72.26,1901.09,204.64,113.74,181.09,1295.74,72.71,1910.87,207.0,116.91,183.78,1302.75,70.31,1869.5,201.1,112.22,176.26,1257.21,70.5,1875.0,206.7,114.99,178.33,1269.95,226176800,5273600,21700500,4853000,24559600,3232000
2020-03-09,66.03,1800.61,197.66,106.65,169.5,1215.79,66.54,1800.61,197.66,106.65,169.5,1215.79,69.52,1862.77,199.89,110.06,175.0,1252.73,65.75,1761.29,193.93,105.05,165.19,1198.04,65.94,1773.86,195.62,106.94,169.6,1204.96,286744800,7813200,25502600,7367800,29949000,3462600
2020-03-10,70.79,1891.82,206.39,111.91,178.19,1275.17,71.33,1891.82,206.39,111.91,178.19,1275.17,71.61,1894.27,207.45,111.92,178.29,1275.85,67.34,1818.17,200.8,106.86,169.5,1214.51,69.29,1870.88,205.53,110.86,174.67,1254.39,285290000,7133300,19022600,5051200,24517800,2743600
2020-03-11,68.33,1820.86,198.91,108.25,170.24,1210.9,68.86,1820.86,198.91,108.25,170.24,1210.9,70.31,1871.32,203.1,110.7,175.88,1256.93,67.96,1801.5,196.11,107.56,167.66,1191.14,69.35,1857.85,201.65,109.6,174.01,1248.27,255598800,5624800,18908200,3854200,20373900,2736600
2020-03-12,61.58,1676.61,185.1,99.0,154.47,1111.55,62.06,1676.61,185.1,99.0,154.47,1111.55,67.5,1765.0,190.49,102.48,166.6,1188.75,62.0,1675.0,183.93,97.42,154.34,1108.47,63.99,1721.98,186.5,100.05,159.54,1122.62,418474000,11346200,30247100,9414500,43266300,4716300
2020-03-13,68.96,1785.0,194.0,100.29,170.28,1214.27,69.49,1785.0,194.0,100.29,170.28,1214.27,69.98,1786.31,195.99,105.61,170.79,1214.4,63.24,1680.62,187.81,94.66,157.6,1112.29,66.22,1755.0,194.9,104.71,163.53,1174.99,370732000,8809700,23650500,6827500,35028600,3970000
2020-03-16,60.09,1689.15,178.85,89.68,146.01,1073.0,60.55,1689.15,178.85,89.68,146.01,1073.0,64.77,1759.45,188.0,96.73,159.13,1145.47,60.0,1626.03,174.5,89.68,143.1,1067.08,60.49,1641.51,176.15,90.92,152.32,1089.61,322423600,8917300,26628500,6482100,39120400,4826000
2020-03-17,62.73,1807.84,184.81,91.13,149.42,1118.06,63.22,1807.84,184.81,91.13,149.42,1118.06,64.4,1857.78,189.39,92.28,153.94,1126.0,59.6,1689.24,179.69,85.05,140.0,1049.1,61.88,1775.47,181.26,89.72,150.74,1090.64,324056000,10917100,19276500,6343000,34255600,4159700
2020-03-18,61.19,1830.0,180.0,83.62,146.96,1091.19,61.67,1830.0,180.0,83.62,146.96,1091.19,62.5,1841.66,182.41,92.89,148.18,1104.99,59.28,1745.0,170.0,82.0,137.1,1037.0,59.94,1750.0,176.0,84.6,139.75,1059.94,300233600,9645200,22054200,9479800,37553100,4652200
2020-03-19,60.72,1880.93,180.88,89.62,153.13,1111.67,61.19,1880.93,180.88,89.62,153.13,1111.67,63.21,1945.0,187.25,91.66,159.93,1152.61,60.65,1832.65,177.39,83.21,144.8,1055.55,61.85,1860.0,179.26,83.34,146.62,1088.22,271857200,10399900,20905700,6258600,39862300,3703200
2020-03-20,56.87,1846.09,181.3,88.66,149.73,1068.21,57.31,1846.09,181.3,88.66,149.73,1068.21,62.96,1957.0,188.3,93.16,159.27,1138.48,57.0,1820.73,180.0,87.72,148.0,1062.1,61.79,1926.31,187.74,91.25,156.02,1130.9,401693200,9817900,21006100,5689900,32568400,4143900
2020-03-23,55.66,1902.83,176.34,91.22,148.1,1054.13,56.09,1902.83,176.34,91.22,148.1,1054.13,57.12,1919.4,178.5,92.15,152.31,1066.91,53.15,1812.0,169.95,86.23,142.25,1008.87,57.02,1827.75,175.27,89.03,149.66,1056.37,336752800,7808500,22554700,4709300,29830800,4183600
2020-03-24,61.25,1940.1,185.75,96.43,160.98,1130.01,61.72,1940.1,185.75,96.43,160.98,1130.01,61.92,1955.0,188.8,98.92,161.31,1133.33,58.58,1900.34,181.18,95.05,152.57,1086.43,59.09,1951.5,183.09,95.18,155.21,1103.98,287531200,7147100,20801500,5640100,30440400,3623400
2020-03-25,60.91,1885.84,188.56,96.92,156.21,1101.62,61.38,1885.84,188.56,96.92,156.21,1101.62,64.56,1950.26,195.19,102.05,162.99,1146.17,61.08,1885.78,184.51,95.08,153.06,1083.01,62.69,1920.69,185.82,97.0,158.92,1124.58,303602000,6479100,19605200,6231000,35184300,4516200
2020-03-26,64.11,1955.49,195.32,101.82,163.34,1162.92,64.61,1955.49,195.32,101.82,163.34,1162.92,64.67,1956.49,196.32,102.46,164.0,1171.48,61.59,1889.29,187.6,97.32,157.02,1092.03,61.63,1902.0,188.64,98.61,158.25,1114.72,252087200,6221300,15416800,5109500,26556800,3828100
2020-03-27,61.46,1900.1,188.59,97.63,156.79,1110.26,61.94,1900.1,188.59,97.63,156.79,1110.26,63.97,1939.79,192.74,99.12,160.09,1151.05,61.76,1899.92,188.0,96.33,154.75,1104.0,63.19,1930.86,189.97,98.5,158.2,1127.47,204216800,5387900,13376400,4113000,24879900,3139700
2020-03-30,63.21,1963.95,191.27,98.95,165.95,1146.31,63.7,1963.95,191.27,98.95,165.95,1146.31,63.88,1973.63,191.48,99.5,166.75,1151.0,62.35,1912.34,187.01,96.15,158.06,1098.49,62.69,1922.83,187.48,98.52,159.18,1132.64,167976400,6126100,12254400,3828100,22515200,2936800
2020-03-31,63.08,1949.72,194.48,100.79,166.8,1161.95,63.57,1949.72,194.48,100.79,166.8,1161.95,65.62,1993.02,196.79,105.25,170.93,1173.4,63.0,1944.01,190.6,98.54,164.2,1136.72,63.9,1964.35,192.0,98.54,165.48,1148.73,197002000,5123600,19084800,4088000,23676300,3261400
2020-04-01,59.76,1907.7,187.56,97.68,159.6,1102.1,60.23,1907.7,187.56,97.68,159.6,1102.1,62.18,1944.96,192.87,101.52,164.15,1129.42,59.78,1893.0,185.04,97.33,158.04,1093.49,61.62,1932.97,189.5,98.68,161.62,1124.0,176218400,4121900,17948600,3805000,19507600,2598500
2020-04-02,60.76,1918.83,188.9,99.59,158.19,1117.03,61.23,1918.83,188.9,99.59,158.19,1117.03,61.29,1927.53,191.3,100.88,161.35,1122.77,59.22,1890.0,185.69,97.0,155.92,1093.13,60.08,1901.64,186.08,97.77,159.1,1100.0,165934000,4336000,13412100,2442000,20886300,2820500
2020-04-03,59.89,1906.59,187.11,97.2,154.18,1092.7,60.35,1906.59,187.11,97.2,154.18,1092.7,61.42,1926.33,190.55,100.23,157.91,1118.79,59.74,1889.15,185.41,96.1,150.83,1075.08,60.7,1911.15,190.12,98.92,157.15,1114.71,129880000,3609900,9483100,2239700,25983300,2568700
2020-04-06,65.11,1997.59,196.45,102.94,165.55,1183.19,65.62,1997.59,196.45,102.94,165.55,1183.19,65.78,1998.52,196.88,103.2,166.2,1190.75,62.35,1930.02,192.7,100.27,158.51,1125.0,62.72,1936.0,194.74,100.88,160.15,1133.0,201820400,5773200,13248700,3590800,28453600,3166000
2020-04-07,64.36,2011.6,198.0,101.79,168.83,1182.56,64.86,2011.6,198.0,101.79,168.83,1182.56,67.93,2035.72,201.45,107.39,173.39,1220.78,64.75,1997.62,197.05,101.05,166.01,1177.25,67.7,2017.11,200.05,105.0,171.79,1217.01,202887200,5114000,14934500,6968600,31411900,3081000
2020-04-08,66.01,2043.0,195.98,97.33,174.28,1207.0,66.52,2043.0,195.98,97.33,174.28,1207.0,66.84,2044.0,198.86,98.59,175.0,1214.9,65.31,2011.15,193.88,94.9,167.74,1183.95,65.68,2021.0,198.34,98.0,171.25,1203.1,168895200,3977300,13608000,10164500,21664200,2016700
2020-04-09,66.48,2042.76,196.37,99.0,175.19,1206.57,67.0,2042.76,196.37,99.0,175.19,1206.57,67.52,2053.0,200.35,100.37,177.08,1221.99,66.18,2017.66,193.4,96.4,171.57,1192.42,67.18,2044.3,198.65,97.57,175.9,1218.18,162116400,4655600,17821300,5422300,23534300,2701400
2020-04-13,67.79,2168.87,199.44,98.37,174.79,1210.41,68.31,2168.87,199.44,98.37,174.79,1210.41,68.43,2180.0,200.32,99.93,175.0,1214.52,66.46,2038.0,195.53,97.98,169.45,1182.33,67.08,2040.0,197.4,98.71,173.67,1201.5,131022800,6716700,16117900,3171800,19355400,1935100
2020-04-14,71.21,2283.32,204.78,100.92,178.17,1265.23,71.76,2283.32,204.78,100.92,178.17,1265.23,72.06,2292.0,207.97,103.11,181.23,1275.75,69.51,2186.21,204.25,99.56,176.62,1228.54,70.0,2200.47,204.95,99.58,178.98,1239.97,194994800,8087200,16757100,3564500,21011800,3167900
2020-04-15,70.56,2307.68,208.17,100.87,176.97,1257.3,71.11,2307.68,208.17,100.87,176.97,1257.3,71.58,2333.37,209.15,100.92,178.19,1275.11,70.16,2245.0,201.31,97.37,172.82,1234.0,70.6,2257.68,204.77,98.64,175.19,1246.51,131154400,6866600,10768100,2771600,17423000,2111800
2020-04-16,71.12,2408.19,212.66,102.82,176.25,1257.43,71.67,2408.19,212.66,102.82,176.25,1257.43,72.05,2461.0,213.25,103.03,178.05,1273.36,70.59,2335.0,209.12,99.67,172.51,1238.2,71.85,2346.0,210.53,101.6,177.95,1267.14,157125200,12038200,16353800,4406400,23593200,2894800
2020-04-17,70.16,2375.0,209.5,105.0,179.24,1279.0,70.7,2375.0,209.5,105.0,179.24,1279.0,71.74,2400.0,214.98,105.19,180.28,1290.0,69.21,2316.02,208.85,103.15,176.66,1266.0,71.17,2372.33,214.98,104.21,179.2,1281.7,215250000,7930000,13558500,3827200,20974800,2552500
2020-04-20,68.7,2393.61,212.13,104.68,178.24,1261.15,69.23,2393.61,212.13,104.68,178.24,1261.15,70.42,2444.98,216.1,107.67,180.5,1276.82,69.21,2386.05,209.36,103.42,176.77,1256.44,69.49,2389.95,209.87,103.6,177.41,1269.89,130015200,5770700,19295400,3484300,16110700,1764600
2020-04-21,66.58,2328.12,207.34,101.41,170.8,1212.16,67.09,2328.12,207.34,101.41,170.8,1212.16,69.31,2428.31,212.13,102.42,175.38,1250.0,66.36,2279.66,205.03,98.83,168.34,1205.0,69.07,2416.61,209.9,102.1,175.25,1242.71,180991600,7476700,14107600,3843900,24850500,2482400
2020-04-22,68.49,2363.49,209.96,101.75,182.28,1258.41,69.03,2363.49,209.96,101.75,182.28,1258.41,69.47,2394.0,212.0,104.36,184.78,1279.88,68.05,2351.0,209.21,101.2,178.14,1237.2,68.4,2369.0,212.0,101.99,178.45,1241.11,117057200,4218300,13471100,3428300,33242000,2315800
2020-04-23,68.23,2399.45,205.24,99.85,185.13,1271.17,68.76,2399.45,205.24,99.85,185.13,1271.17,70.44,2424.22,210.56,102.38,187.05,1288.15,68.72,2382.08,203.46,99.21,183.15,1260.53,68.97,2399.98,210.24,101.2,184.08,1265.74,124814400,5066600,20424000,3407400,21426600,1710100
2020-04-24,70.2,2410.22,204.36,100.95,190.07,1276.6,70.74,2410.22,204.36,100.95,190.07,1276.6,70.75,2420.43,206.5,101.92,190.41,1277.71,69.25,2382.0,202.82,99.89,180.83,1244.0,69.3,2417.0,205.89,101.1,183.23,1255.0,126508800,3831800,14673900,2585400,28792000,1872000
2020-04-27,70.25,2376.0,203.69,100.56,187.5,1270.86,70.79,2376.0,203.69,100.56,187.5,1270.86,71.14,2444.88,207.78,101.55,193.75,1294.1,69.99,2363.0,202.03,99.72,187.41,1265.06,70.45,2443.2,207.55,101.2,192.66,1292.0,117087600,5645600,17286800,3148700,29197800,2209300
2020-04-28,69.11,2314.08,201.15,97.13,182.91,1232.59,69.64,2314.08,201.15,97.13,182.91,1232.59,71.46,2373.5,205.19,101.0,189.2,1284.76,69.55,2306.0,199.41,96.81,182.56,1230.38,71.27,2372.1,204.81,101.0,188.66,1283.2,112004800,5269400,17203800,4534500,21731000,4035000
